Time,Latitude,Longitude,counts,PM1,PM25,PM10
1745965219.55,0,0,12.0,4.5,10.5,12.5
1745965224.42,0,0,10.0,5.0,10.5,12.5
1745965229.42,0,0,11.2,5.0,10.0,12.0
1745965234.43,0,0,12.4,5.0,10.0,11.0
1745965239.45,0,0,13.0,5.0,9.0,10.0
1745965244.42,0,0,10.8,5.0,9.0,10.0
1745965249.44,0,0,15.4,4.5,8.5,9.5
1745965254.4,0,0,20.0,4.0,8.0,9.0
1745965259.47,0,0,22.2,3.5,7.0,7.0
1745965264.43,0,0,18.8,5.0,8.0,8.0
1745965269.43,0,0,20.2,4.0,9.0,10.0
1745965274.43,0,0,17.8,5.0,11.0,12.0
1745965279.43,0,0,18.4,7.0,13.5,15.0
1745965284.45,0,0,22.0,7.0,17.0,18.0
1745965289.42,0,0,14.8,6.0,17.5,19.5
1745965294.43,0,0,18.6,4.5,15.0,17.5
1745965299.43,0,0,21.6,4.5,14.0,17.0
1745965304.45,0,0,14.8,4.0,14.0,17.0
1745965309.42,0,0,19.2,4.5,13.5,16.5
1745965314.42,0,0,19.6,5.0,13.0,16.0
1745965319.42,0,0,16.2,4.0,12.0,15.0
1745965324.45,0,0,13.4,4.0,11.0,14.0
1745965329.42,0,0,16.2,4.0,11.0,15.0
1745965334.42,0,0,16.4,4.0,10.5,14.5
1745965339.42,0,0,13.8,4.0,10.0,14.0
1745965344.43,0,0,18.2,4.0,10.0,13.0
1745965349.45,0,0,16.6,4.0,10.0,13.0
1745965354.42,0,0,16.0,4.0,10.0,12.0
1745965359.42,0,0,18.2,4.0,9.5,11.5
1745965364.42,0,0,16.6,4.0,9.0,11.0
1745965369.45,0,0,17.6,4.0,9.0,11.0
1745965374.42,0,0,18.2,4.0,9.0,11.0
1745965379.42,0,0,20.0,4.0,9.0,12.0
1745965384.42,0,0,17.6,4.0,8.5,12.0
1745965389.48,0,0,20.0,4.0,8.0,10.0
1745965394.42,0,0,13.8,4.5,8.0,9.5
1745965399.49,0,0,19.0,5.0,8.0,9.0
1745965404.42,0,0,18.2,5.0,9.0,10.0
1745965409.47,0,0,23.0,5.0,10.0,12.0
1745965414.49,0,0,22.8,5.0,13.0,19.0
1745965419.46,0,0,21.2,5.0,13.0,18.0
1745965424.44,0,0,14.2,6.0,15.5,22.5
1745965429.44,0,0,16.6,5.0,14.0,21.0
1745965434.47,0,0,12.4,4.0,12.0,20.0
1745965439.44,0,0,19.8,4.0,12.0,18.0
1745965444.43,0,0,16.8,4.0,12.0,18.0
1745965449.42,0,0,18.8,4.0,12.0,18.0
1745965454.42,0,0,15.4,4.0,12.0,18.0
1745965459.45,0,0,20.6,4.0,11.0,17.0
1745965464.42,0,0,19.2,4.0,12.0,16.0
1745965469.43,0,0,15.8,4.5,11.5,16.0
1745965474.43,0,0,14.6,4.0,11.0,13.5
1745965479.49,0,0,16.4,6.0,13.0,15.0
1745965484.45,0,0,15.6,6.0,14.0,16.5
1745965489.45,0,0,16.4,5.0,13.5,16.0
1745965494.43,0,0,15.4,5.5,15.5,17.5
1745965499.49,0,0,19.0,6.0,16.0,17.0
1745965504.43,0,0,16.4,5.0,14.5,15.5
1745965509.44,0,0,19.4,4.0,13.0,14.0
1745965514.44,0,0,17.0,5.0,13.0,15.0
1745965519.43,0,0,16.6,5.0,13.0,14.5
1745965524.46,0,0,18.4,3.5,11.5,13.5
1745965529.43,0,0,18.8,3.5,11.0,12.5
1745965534.45,0,0,15.6,5.0,12.0,13.0
1745965539.44,0,0,18.4,4.0,12.0,13.0
1745965544.49,0,0,18.2,3.0,10.0,12.0
1745965549.44,0,0,16.6,3.0,11.0,13.0
1745965554.41,0,0,15.4,3.5,11.0,13.0
1745965559.43,0,0,19.0,4.0,11.0,13.0
1745965564.54,0,0,15.8,3.0,10.0,12.0
1745965569.46,0,0,18.6,2.0,9.0,11.0
1745965574.43,0,0,17.6,2.5,9.5,10.5
1745965579.43,0,0,18.8,3.0,9.5,10.5
1745965584.43,0,0,18.0,3.0,9.0,10.0
1745965589.48,0,0,20.8,3.0,9.0,10.0
1745965594.43,0,0,17.6,3.0,9.0,10.0
1745965599.43,0,0,13.4,3.0,9.0,10.0
1745965604.42,0,0,17.4,3.0,9.0,9.5
1745965609.45,0,0,15.8,2.0,6.0,6.0
1745965614.42,0,0,18.0,2.0,5.5,6.0
1745965619.43,0,0,16.0,3.0,6.0,7.0
1745965624.42,0,0,17.2,3.0,6.0,8.0
1745965629.42,0,0,16.8,3.0,6.0,8.0
1745965634.46,0,0,16.0,3.0,6.0,9.0
1745965639.42,0,0,19.8,2.0,5.0,8.5
1745965644.42,0,0,17.6,2.0,5.0,9.0
1745965649.42,0,0,17.4,3.0,6.0,10.0
1745965654.46,0,0,14.6,4.0,7.0,11.0
1745965659.43,0,0,18.4,3.0,6.0,10.0
1745965664.43,0,0,15.8,3.0,6.0,10.0
1745965669.43,0,0,17.6,3.0,6.0,10.0
1745965674.46,0,0,20.6,4.0,7.0,11.0
