Time,Latitude,Longitude,counts,PM1,PM25,PM10
1745957665.68,0,0,12.0,4.5,7.5,12.5
1745957670.42,0,0,10.2,5.0,8.0,13.0
1745957675.45,0,0,11.8,5.0,8.0,11.0
1745957680.43,0,0,10.8,5.0,8.0,11.5
1745957685.42,0,0,9.0,5.0,8.0,12.0
1745957690.42,0,0,13.4,5.0,9.0,12.0
1745957695.42,0,0,10.2,4.5,8.5,11.5
1745957700.45,0,0,12.0,4.0,8.0,9.0
1745957705.43,0,0,12.6,4.5,8.0,9.5
1745957710.42,0,0,13.8,5.0,8.0,10.0
1745957715.42,0,0,13.0,4.0,8.0,10.0
1745957720.45,0,0,12.6,5.0,9.5,9.5
1745957725.42,0,0,11.8,5.0,10.5,11.0
1745957730.43,0,0,13.8,5.0,11.5,12.5
1745957735.42,0,0,8.6,5.0,13.0,14.0
1745957740.46,0,0,10.4,4.5,12.0,13.0
1745957745.42,0,0,14.4,4.0,12.0,13.0
1745957750.42,0,0,13.2,5.0,12.0,13.0
1745957755.42,0,0,9.8,4.5,11.5,12.5
1745957760.44,0,0,10.2,4.0,11.0,12.0
1745957765.46,0,0,11.2,4.0,11.0,12.0
1745957770.44,0,0,16.6,4.0,11.0,12.0
1745957775.44,0,0,13.4,4.0,11.0,12.0
1745957780.43,0,0,9.8,4.5,11.0,12.0
1745957785.46,0,0,12.0,5.0,12.0,13.0
1745957790.44,0,0,13.0,5.0,11.5,13.0
1745957795.4,0,0,13.2,5.0,11.0,13.0
1745957800.45,0,0,13.0,5.0,11.0,12.0
1745957805.46,0,0,9.4,4.5,10.0,11.5
1745957810.49,0,0,11.4,4.5,10.5,12.5
1745957815.48,0,0,9.8,5.0,10.5,12.5
1745957820.46,0,0,12.0,5.0,11.5,13.5
1745957825.45,0,0,11.2,5.0,12.0,13.5
1745957830.46,0,0,10.4,4.5,12.5,15.5
1745957835.42,0,0,13.6,4.5,12.5,16.0
1745957840.43,0,0,9.4,4.5,12.0,15.0
1745957845.42,0,0,11.4,4.0,12.0,15.0
1745957850.47,0,0,11.0,4.0,12.0,13.5
1745957855.42,0,0,13.8,4.0,12.0,13.0
1745957860.44,0,0,12.8,5.0,12.0,13.0
1745957865.43,0,0,10.6,5.0,12.5,13.5
1745957870.43,0,0,14.2,5.0,13.0,14.0
1745957875.46,0,0,10.8,5.0,11.5,11.5
1745957880.44,0,0,12.2,5.0,11.0,11.0
1745957885.42,0,0,12.8,5.0,11.0,12.0
1745957890.42,0,0,11.0,4.5,10.5,11.5
1745957895.46,0,0,12.0,4.0,9.0,10.0
1745957900.42,0,0,14.0,4.5,9.5,12.0
1745957905.44,0,0,11.6,5.0,11.0,16.5
1745957910.49,0,0,9.6,5.0,12.0,17.0
1745957915.49,0,0,12.2,4.0,13.0,18.0
1745957920.42,0,0,10.6,4.0,14.0,18.0
1745957925.43,0,0,12.4,4.5,14.0,16.0
1745957930.45,0,0,12.4,4.0,14.0,16.0
1745957935.4,0,0,12.6,4.0,14.0,16.0
1745957940.5,0,0,13.8,3.0,12.0,13.0
1745957945.54,0,0,9.6,3.0,11.0,12.0
1745957950.43,0,0,10.6,3.0,11.0,12.0
