Time,Latitude,Longitude,counts,PM1,PM25,PM10
1745961120.09,0,0,11.2,3.0,7.0,8.0
1745961125.02,0,0,13.6,4.0,8.5,9.5
1745961130.03,0,0,11.6,4.0,9.0,10.0
1745961135.06,0,0,10.4,5.0,11.0,11.0
1745961140.02,0,0,13.0,5.0,11.0,11.5
1745961145.05,0,0,13.8,5.0,11.0,13.0
1745961150.02,0,0,10.0,5.0,10.5,12.5
1745961155.02,0,0,11.8,5.0,10.0,12.0
1745961160.02,0,0,14.0,5.0,10.0,11.0
1745961165.07,0,0,15.0,6.0,13.0,13.0
1745961170.02,0,0,12.8,6.0,14.0,14.0
1745961175.02,0,0,11.6,5.0,13.5,14.5
1745961180.03,0,0,12.0,5.5,13.5,14.5
1745961185.06,0,0,15.0,5.5,14.5,18.0
1745961190.03,0,0,12.6,6.0,15.0,18.0
1745961195.03,0,0,12.2,6.0,15.0,20.0
1745961200.03,0,0,13.2,6.0,15.0,20.0
1745961205.03,0,0,14.0,6.0,15.0,20.0
1745961210.06,0,0,15.4,6.0,17.0,28.5
1745961215.03,0,0,19.2,5.0,16.0,27.0
1745961220.03,0,0,13.2,5.5,15.5,25.5
1745961225.03,0,0,12.8,5.0,14.5,23.5
1745961230.07,0,0,12.6,4.0,12.0,14.0
1745961235.03,0,0,15.8,4.5,12.0,13.5
1745961240.05,0,0,14.0,5.0,12.0,13.0
1745961245.07,0,0,12.8,5.0,12.0,14.0
1745961250.02,0,0,14.6,5.0,11.5,13.5
1745961255.09,0,0,14.2,5.0,10.0,12.0
1745961260.06,0,0,14.0,4.5,10.0,12.0
1745961265.06,0,0,15.0,4.0,10.0,12.0
1745961270.03,0,0,15.8,5.0,10.0,12.0
1745961275.09,0,0,14.4,5.0,10.0,12.0
1745961280.04,0,0,15.0,5.0,10.0,11.0
1745961285.05,0,0,15.4,4.5,9.5,11.0
1745961290.05,0,0,14.2,4.0,9.0,11.0
1745961295.07,0,0,12.2,5.5,14.5,17.0
1745961300.05,0,0,10.6,7.0,17.5,22.5
1745961305.04,0,0,17.8,6.5,19.0,23.0
1745961310.09,0,0,15.6,7.0,27.0,37.0
1745961315.06,0,0,15.8,7.5,26.0,36.0
1745961320.08,0,0,17.8,6.5,23.5,34.0
1745961325.04,0,0,17.8,6.0,23.0,33.0
1745961330.04,0,0,12.2,5.0,20.0,28.0
1745961335.05,0,0,13.4,5.0,19.5,26.5
1745961340.09,0,0,10.2,5.0,19.0,25.0
1745961345.07,0,0,11.0,5.0,18.5,24.0
1745961350.04,0,0,16.8,5.0,18.0,23.0
1745961355.05,0,0,15.8,5.0,11.0,13.0
1745961360.09,0,0,15.0,4.5,10.5,13.5
1745961365.04,0,0,12.8,3.0,10.0,14.0
1745961370.05,0,0,14.6,4.0,10.0,13.5
1745961375.04,0,0,15.0,4.0,9.0,12.0
1745961380.04,0,0,15.4,5.0,9.0,12.0
1745961385.08,0,0,14.4,5.0,8.0,11.0
1745961390.06,0,0,12.0,5.0,9.0,12.0
1745961395.06,0,0,15.2,5.0,9.0,12.0
1745961400.07,0,0,14.0,5.0,9.0,12.0
1745961405.08,0,0,16.2,5.0,9.0,12.5
1745961410.07,0,0,12.2,5.0,9.0,13.0
1745961415.06,0,0,14.6,4.5,8.5,10.5
1745961420.05,0,0,13.0,4.0,8.0,10.0
1745961425.03,0,0,15.8,4.0,8.0,10.0
1745961430.06,0,0,13.4,4.5,7.0,8.0
1745961435.05,0,0,12.8,5.0,7.0,8.0
1745961440.03,0,0,10.8,4.0,7.0,8.0
1745961445.03,0,0,15.2,4.0,7.5,8.0
1745961450.06,0,0,13.6,5.0,10.0,10.0
1745961455.05,0,0,14.8,5.0,10.0,10.0
1745961460.04,0,0,12.8,5.0,10.0,10.0
1745961465.05,0,0,13.2,6.0,10.0,11.0
1745961470.1,0,0,15.0,4.0,9.0,10.0
1745961475.05,0,0,11.2,4.0,8.0,10.0
1745961480.05,0,0,12.6,4.0,8.5,10.0
1745961485.04,0,0,14.4,5.0,10.0,11.0
1745961490.04,0,0,11.6,4.0,9.0,11.0
1745961495.08,0,0,17.4,3.5,8.5,9.5
1745961500.07,0,0,15.0,3.0,8.0,9.0
1745961505.06,0,0,11.4,4.0,9.0,10.0
1745961510.06,0,0,14.6,4.0,9.0,10.0
1745961515.1,0,0,15.0,3.0,6.5,7.5
1745961520.06,0,0,11.6,2.0,6.0,7.0
1745961525.06,0,0,12.8,4.0,7.0,8.0
1745961530.07,0,0,11.2,4.0,7.5,9.5
1745961535.06,0,0,14.2,3.0,7.0,10.0
1745961540.1,0,0,14.0,4.0,8.0,10.0
1745961545.08,0,0,13.2,4.0,8.0,10.0
1745961550.03,0,0,15.6,4.0,7.0,10.0
1745961555.08,0,0,14.8,3.0,6.0,9.0
1745961560.11,0,0,13.6,3.0,7.0,11.0
1745961565.07,0,0,13.2,3.0,7.0,11.0
1745961570.06,0,0,11.0,3.0,7.0,11.0
1745961575.06,0,0,12.0,4.0,9.0,13.0
1745961580.07,0,0,9.8,5.0,9.0,13.0
1745961585.03,0,0,11.6,4.5,9.5,13.5
1745961590.05,0,0,14.2,3.5,8.5,11.5
1745961595.02,0,0,11.2,3.5,8.5,10.5
1745961600.02,0,0,15.2,4.0,10.0,12.0
1745961605.06,0,0,12.4,4.0,9.0,11.0
1745961610.02,0,0,13.0,4.0,9.0,10.0
1745961615.03,0,0,11.8,4.5,9.5,10.5
1745961620.03,0,0,14.2,5.0,10.0,11.0
1745961625.08,0,0,13.2,4.0,8.5,9.0
1745961630.03,0,0,14.0,5.0,9.0,10.0
1745961635.06,0,0,10.4,4.0,8.0,9.0
1745961640.04,0,0,12.6,4.0,8.0,9.0
1745961645.08,0,0,12.6,4.0,7.0,9.0
1745961650.02,0,0,15.4,4.0,8.0,10.0
1745961655.02,0,0,10.4,5.0,10.0,14.5
1745961660.02,0,0,13.6,5.0,11.5,16.5
1745961665.02,0,0,14.6,4.0,12.5,17.0
1745961670.05,0,0,10.0,5.0,12.5,16.0
1745961675.03,0,0,12.2,4.0,12.0,12.5
1745961680.04,0,0,13.4,4.0,12.0,13.0
1745961685.08,0,0,11.0,4.0,11.0,13.0
1745961690.13,0,0,11.8,4.0,10.0,11.0
1745961695.06,0,0,13.0,4.0,10.0,11.0
1745961700.03,0,0,14.0,4.0,9.5,10.5
1745961705.04,0,0,12.8,4.0,9.0,10.0
1745961710.04,0,0,14.8,4.0,9.0,10.0
