Timestamp,Mag_X (uT),Mag_Y (uT),Mag_Z (uT),Mag_Total (uT)
2025-04-29 15:20:12,55.37854428529669,-44.37299035369775,-17.14410990938322,73.00456112239107
2025-04-29 15:20:13,54.23852674656533,-47.193802981584334,-17.49488453668518,73.99421469584244
2025-04-29 15:20:14,54.58930137386729,-45.74685764396375,-16.281788950599243,73.06068340917602
2025-04-29 15:20:15,54.83776673487284,-44.76761180941245,-17.6118094124525,72.94858160627334
2025-04-29 15:20:16,55.919321835720545,-44.03683133586671,-15.960245542239113,72.94479081085248
2025-04-29 15:20:17,55.451622332651276,-44.82607424729611,-16.57410114001754,73.204919099379
2025-04-29 15:20:18,56.10932475884244,-44.606840105232386,-16.340251388482898,73.51891133923186
2025-04-29 15:20:19,55.670856474714995,-44.44606840105232,-16.471791873721134,73.11646315619024
2025-04-29 15:20:20,55.495469161064015,-43.876059631686644,-16.676410406313945,72.68396226300369
2025-04-29 15:20:21,55.71470330312774,-44.44606840105232,-16.48640748319205,73.1531461535895
2025-04-29 15:20:22,55.40777550423853,-44.92838351359252,-16.442560654779303,73.20477465547341
2025-04-29 15:20:23,54.7939199064601,-45.6007015492546,-16.617947968430283,73.19804529617721
2025-04-29 15:20:24,54.32622040339082,-44.88453668517977,-16.13563285589009,72.2932811844996
2025-04-29 15:20:25,55.02776965799474,-43.89067524115756,-16.471791873721134,72.28946489073822
2025-04-29 15:20:26,54.983922829581985,-44.63607132417422,-16.091786027477344,72.62613999477261
2025-04-29 15:20:27,55.30546623794213,-44.329143525285005,-17.20257234726688,72.93624652286698
2025-04-29 15:20:28,54.282373574978074,-42.50219234142064,-17.743349897690734,71.18875543477688
2025-04-29 15:20:29,52.002338497515346,-45.659163987138264,-17.129494299912306,71.2911077216877
2025-04-29 15:20:30,51.973107278573515,-46.243788365974865,-17.304881613563285,71.68787045439852
2025-04-29 15:20:31,52.30926629640456,-46.41917567962584,-14.600993861444023,71.44360176381127
2025-04-29 15:20:32,53.37620578778135,-46.5799473838059,-15.024846536100556,72.41862230124985
2025-04-29 15:20:33,53.42005261619409,-45.732242034492835,-15.521777258111664,72.01434268441815
2025-04-29 15:20:34,53.332358959368605,-45.95147617655656,-14.615609470914936,71.89919829304002
2025-04-29 15:20:35,53.21543408360129,-45.133002046185325,-14.498684595147617,71.26767958476447
2025-04-29 15:20:36,53.887752119263375,-44.72376498099971,-14.513300204618531,71.51741651774239
2025-04-29 15:20:37,54.384682841274476,-44.080678164279455,-14.86407483192049,71.5663373086658
2025-04-29 15:20:38,54.18006430868167,-43.4375913475592,-15.857936275942707,71.23045594057567
2025-04-29 15:20:39,54.618532592809125,-42.896813797135344,-15.21484945922245,71.09720374673434
2025-04-29 15:20:40,49.37152879275066,-52.952353113124815,-13.402513884828998,73.62830253362833
2025-04-29 15:20:41,48.78690441391406,-54.384682841274476,-14.00175387313651,74.39022033548693
2025-04-29 15:20:42,47.80765857936276,-40.32446653025431,-15.361005553931598,64.401826926093
2025-04-29 15:20:43,48.08535515931015,-39.95907629348144,-14.83484361297866,64.25730887647568
2025-04-29 15:20:44,47.676118094124526,-40.836012861736336,-14.68868751826951,64.46975821249968
2025-04-29 15:20:45,47.471499561531715,-40.95293773750365,-13.91406021631102,64.22061547241265
2025-04-29 15:20:46,13.504823151125404,-46.141479099678456,-42.15141771411868,63.93870781583996
2025-04-29 15:20:47,25.401929260450164,-40.73370359543993,-44.37299035369775,65.37166734666803
2025-04-29 15:20:48,17.714118678748903,-52.39695995323005,-27.199649225372696,61.63645293889414
2025-04-29 15:20:49,16.807950891552178,-41.12832505115463,-40.33908213972522,60.010731394991026
2025-04-29 15:20:50,17.889505992399883,-37.8690441391406,-43.02835428237358,60.046133938112504
2025-04-29 15:20:51,5.071616486407484,-49.8976907337036,-31.862028646594563,59.419607065496
2025-04-29 15:20:52,4.983922829581994,-49.780765857936274,-31.672025723472668,59.21217230943496
2025-04-29 15:20:53,8.915521777258112,-55.20315697164572,-33.73282665887167,65.30527285445184
2025-04-29 15:20:54,18.2987430575855,-55.34931306635487,-29.026600409237062,65.12245377534862
2025-04-29 15:20:55,18.897983045893014,-54.39929845074539,-29.318912598655366,64.62210203253777
2025-04-29 15:20:56,18.781058170125693,-54.340836012861736,-29.961999415375622,64.83344826193765
2025-04-29 15:20:57,38.33674364220988,-37.37211341712949,-38.292896813797135,65.82345114579928
2025-04-29 15:20:58,19.438760596316868,-54.96930722011108,-29.494299912306342,65.34067551760504
2025-04-29 15:20:59,19.058754750073078,-53.80005846243788,-29.36275942706811,64.18608933684186
2025-04-29 15:21:00,18.12335574393452,-53.93159894767612,-30.064308681672024,64.3501052445219
2025-04-29 15:21:01,18.50336159017831,-54.35545162233265,-28.74890382928968,64.21361991501786
2025-04-29 15:21:02,18.722595732242034,-54.486992107570885,-29.713534054370065,64.82485638922519
2025-04-29 15:21:03,18.26951183864367,-54.530838935983624,-30.020461853259278,64.87384363337449
2025-04-29 15:21:04,18.26951183864367,-54.04852382344344,-28.631978953522363,63.83422443415931
2025-04-29 15:21:05,18.152586962876352,-54.19467991815259,-28.675825781935103,63.94437214604342
2025-04-29 15:21:06,18.152586962876352,-54.32622040339082,-28.74890382928968,64.08864258313116
2025-04-29 15:21:07,18.313358667056416,-53.85852090032154,-28.5735165156387,63.65976142987107
2025-04-29 15:21:08,18.70798012277112,-54.0046769950307,-28.851213095586086,64.02254411298036
2025-04-29 15:21:09,18.28412744811459,-54.063139432914355,-28.821981876644255,63.93621040677377
