Time,Latitude,Longitude,counts,PM1,PM25,PM10
1745958733.55,0,0,14.6,4.0,11.0,11.0
1745958738.42,0,0,20.0,4.0,10.0,10.0
1745958743.42,0,0,20.6,4.0,10.0,10.0
1745958748.44,0,0,20.0,4.0,10.0,10.0
1745958753.42,0,0,18.6,4.0,10.0,10.0
1745958758.44,0,0,20.4,4.0,10.0,11.0
1745958763.42,0,0,18.0,4.5,11.5,12.5
1745958768.42,0,0,18.4,4.5,12.0,13.0
1745958773.43,0,0,18.4,4.0,12.0,13.0
1745958778.45,0,0,18.6,4.0,10.5,12.5
1745958783.42,0,0,16.6,4.0,10.0,12.0
1745958788.42,0,0,19.0,4.0,10.0,12.0
1745958793.42,0,0,18.6,5.0,11.0,13.0
1745958798.45,0,0,20.4,4.0,9.0,12.0
1745958803.42,0,0,19.8,4.0,9.0,12.0
1745958808.42,0,0,18.8,4.0,9.0,12.0
1745958813.42,0,0,18.8,5.0,10.0,13.0
1745958818.42,0,0,18.8,5.0,10.0,12.0
1745958823.45,0,0,17.8,4.0,8.0,9.0
1745958828.45,0,0,23.4,4.0,8.0,9.0
1745958833.41,0,0,19.6,5.0,9.0,10.0
1745958838.43,0,0,18.4,4.0,8.0,8.0
1745958843.51,0,0,16.8,3.0,7.0,7.0
1745958848.44,0,0,21.6,3.0,6.0,8.0
1745958853.5,0,0,20.2,3.0,6.0,7.5
1745958858.44,0,0,21.6,3.5,6.5,7.5
1745958863.42,0,0,21.0,4.0,8.0,9.0
1745958868.45,0,0,15.8,4.0,7.0,9.0
1745958873.43,0,0,17.8,4.0,7.0,8.0
1745958878.42,0,0,16.8,4.0,6.5,7.5
1745958883.42,0,0,18.4,4.0,6.0,7.0
1745958888.46,0,0,18.6,3.5,6.5,8.5
1745958893.43,0,0,20.6,4.0,7.0,10.0
1745958898.43,0,0,19.2,3.5,6.5,9.5
1745958903.44,0,0,18.0,3.0,5.5,8.5
1745958908.44,0,0,17.6,4.0,6.0,9.0
1745958913.47,0,0,19.6,4.0,6.0,8.0
1745958918.47,0,0,17.6,3.0,5.0,7.0
1745958923.46,0,0,18.4,3.0,6.0,7.0
1745958928.44,0,0,14.8,4.0,7.0,8.5
1745958933.48,0,0,16.8,4.0,7.0,9.0
1745958938.45,0,0,21.0,4.5,7.5,9.5
1745958943.45,0,0,19.0,5.0,8.0,10.0
1745958948.45,0,0,18.4,5.0,9.0,11.0
1745958953.49,0,0,20.0,4.0,7.0,7.0
1745958958.44,0,0,18.0,4.0,8.0,8.0
1745958963.43,0,0,22.2,4.0,8.0,8.0
1745958968.46,0,0,17.0,4.0,8.0,8.0
1745958973.4,0,0,16.0,5.0,9.0,9.0
1745958978.46,0,0,17.6,6.0,10.5,10.5
1745958983.45,0,0,21.4,5.5,11.0,12.0
1745958988.44,0,0,19.4,5.5,11.5,12.5
1745958993.42,0,0,17.4,5.0,12.0,14.5
1745958998.49,0,0,20.2,3.0,10.5,13.0
1745959003.42,0,0,17.6,3.5,11.5,13.5
1745959008.42,0,0,19.4,4.0,12.0,13.0
1745959013.43,0,0,13.8,3.0,10.5,11.5
1745959018.43,0,0,17.6,3.0,10.0,11.0
1745959023.46,0,0,18.6,3.0,10.0,11.0
1745959028.42,0,0,17.8,3.0,10.0,11.0
1745959033.42,0,0,18.2,4.0,10.0,12.0
1745959038.43,0,0,17.8,4.5,11.0,12.5
1745959043.45,0,0,19.2,4.5,10.0,12.0
1745959048.43,0,0,20.2,5.0,11.5,13.0
1745959053.44,0,0,18.2,5.0,12.5,16.5
1745959058.47,0,0,17.2,4.5,12.5,15.5
1745959063.46,0,0,18.4,4.0,13.0,15.0
1745959068.43,0,0,17.8,4.0,13.0,15.0
1745959073.43,0,0,16.2,4.0,12.5,14.5
1745959078.43,0,0,16.4,4.0,12.0,14.0
1745959083.43,0,0,19.0,3.0,12.0,14.0
1745959088.46,0,0,16.8,2.5,9.5,11.5
1745959093.44,0,0,14.8,3.0,10.0,10.0
1745959098.41,0,0,18.8,2.0,9.0,9.0
1745959103.46,0,0,17.6,2.0,9.0,9.0
1745959108.53,0,0,19.0,2.5,8.0,8.0
1745959113.46,0,0,15.8,3.0,8.0,8.0
1745959118.48,0,0,22.8,2.0,6.0,7.0
1745959123.43,0,0,15.6,2.5,6.0,7.0
1745959128.43,0,0,17.0,3.0,6.0,7.0
